Rk,Player,Pos,Tm,Cap Hit
213,Morris Claiborne\ClaiMo00,CB,NYJ,"$3,850,000 "
214,Adam Thielen\ThieAd00,WR,MIN,"$3,850,000 "
215,Glover Quin\QuinGl99,DB,DET,"$3,850,000 "
216,Vontaze Burfict\BurfVo00,LB,CIN,"$3,810,000 "
217,Vernon Davis\DaviVe00,TE,WAS,"$3,750,000 "
218,Micah Hyde\HydeMi00,CB,BUF,"$3,700,000 "
219,Domata Peko\PekoDo20,DT,DEN,"$3,700,000 "
220,Latavius Murray\MurrLa00,RB,MIN,"$3,650,000 "
221,Dante Fowler\FowlDa00,OLB,JAX,"$3,638,216 "
222,Malcolm Butler\ButlMa01,CB,TEN,"$3,500,000 "
223,Andy Levitre\LeviAn20,G,ATL,"$3,500,000 "
224,Jarvis Landry\LandJa00,WR,CLE,"$3,500,000 "
225,Star Lotulelei\LotuSt00,DT,BUF,"$3,500,000 "
226,Terrance Williams\WillTe01,WR,DAL,"$3,500,000 "
227,Prince Amukamara\AmukPr00,CB,CHI,"$3,500,000 "
228,Brent Grimes\GrimBr20,DB,TAM,"$3,500,000 "
229,Andrew Sendejo\SendAn00,DB,MIN,"$3,450,000 "
230,Jordy Nelson\NelsJo00,WR,OAK,"$3,400,000 "
231,Dwayne Allen\AlleDw00,TE,NWE,"$3,380,000 "
232,Laurent Duvernay-Tardif\DuveLa00,OT,KAN,"$3,310,000 "
233,Morgan Moses\MoseMo00,OT,WAS,"$3,250,000 "
234,Cole Beasley\BeasCo00,WR,DAL,"$3,250,000 "
235,Shawn Williams\WillSh02,SS,CIN,"$3,200,000 "
236,Stephen Gostkowski\GostSt20,K,NWE,"$3,200,000 "
237,Mason Crosby\CrosMa20,K,GNB,"$3,150,000 "
238,Steve McLendon\McLeSt00,DT,NYJ,"$3,125,000 "
239,Giovani Bernard\BernGi00,RB,CIN,"$3,100,000 "
240,Tahir Whitehead\WhitTa00,OLB,OAK,"$3,100,000 "
241,Denico Autry\AutrDe00,DE,IND,"$3,000,000 "
242,Ricky Wagner\WagnRi00,OT,DET,"$3,000,000 "
243,Malcolm Smith\SmitMa02,OLB,SFO,"$3,000,000 "
244,Weston Richburg\RichWe00,C,SFO,"$3,000,000 "
245,Vinny Curry\CurrVi00,DE,TAM,"$3,000,000 "
246,Donald Penn\PennDo20,T,OAK,"$3,000,000 "
247,Tyson Alualu\AluaTy99,DT,PIT,"$3,000,000 "
248,Chris Hogan\HogaCh00,WR,NWE,"$3,000,000 "
249,Abry Jones\JoneAb00,DT,JAX,"$3,000,000 "
250,Ted Ginn\GinnTe00,WR,NOR,"$3,000,000 "
251,Bryan Anger\AngeBr00,P,TAM,"$3,000,000 "
252,Todd Davis\DaviTo01,LB,DEN,"$3,000,000 "
253,Alec Ogletree\OgleAl00,OLB,NYG,"$3,000,000 "
254,Brooks Reed\ReedBr00,DL,ATL,"$3,000,000 "
255,D.J. Swearinger\SweaDJ00,FS,WAS,"$3,000,000 "
256,Antoine Bethea\BethAn20,DB,ARI,"$3,000,000 "
257,Cordarrelle Patterson\PattCo00,WR,NWE,"$3,000,000 "
258,Telvin Smith\SmitTe01,ILB,JAX,"$3,000,000 "
259,Brett Kern\KernBr20,P,TEN,"$3,000,000 "
260,Jared Goff\GoffJa00,QB,LAR,"$2,989,788 "
261,Leonard Williams\WillLe02,DT,NYJ,"$2,975,572 "
262,Danny Amendola\AmenDa00,WR,MIA,"$2,950,000 "
263,Justin Tucker\TuckJu00,K,BAL,"$2,950,000 "
264,Brett Jones\JoneBr04,C,MIN,"$2,914,000 "
265,Ben Garland\GarlBe00,DL,ATL,"$2,914,000 "
266,Justin Coleman\ColeJu01,CB,SEA,"$2,914,000 "
267,Corey Grant\GranCo00,RB,JAX,"$2,914,000 "
268,Matt Paradis\ParaMa00,C,DEN,"$2,914,000 "
269,Quincy Enunwa\EnunQu00,WR,NYJ,"$2,914,000 "
270,Shaquil Barrett\BarrSh00,OLB,DEN,"$2,914,000 "
271,Ty Nsekhe\NsekTy00,T,WAS,"$2,914,000 "
272,Tyrell Williams\WillTy00,WR,LAC,"$2,914,000 "
273,Adam Humphries\HumpAd00,WR,TAM,"$2,914,000 "
274,Trey Burton\BurtTr01,TE,CHI,"$2,800,000 "
275,Sam Koch\KochSa20,P,BAL,"$2,750,000 "
276,Kyle Juszczyk\JuszKy00,FB,SFO,"$2,750,000 "
277,Justin Britt\BritJu00,OT,SEA,"$2,750,000 "
278,Matt Schaub\SchaMa00,QB,ATL,"$2,750,000 "
279,Darius Slay\SlayDa00,CB,DET,"$2,726,269 "
280,Ezekiel Elliott\ElliEz00,RB,DAL,"$2,718,758 "
281,Theo Riddick\RiddTh00,RB,DET,"$2,700,000 "
282,Wesley Woodyard\WoodWe20,LB,TEN,"$2,700,000 "
283,Kevin White\WhitKe00,WR,CHI,"$2,693,597 "
284,Ramon Foster\FostRa21,T,PIT,"$2,675,000 "
285,Trent Murphy\MurpTr00,DE,BUF,"$2,625,000 "
286,Adam Vinatieri\vinatada01,K,IND,"$2,625,000 "
287,Akeem Spence\SpenAk00,DT,MIA,"$2,575,000 "
288,Jalen Ramsey\RamsJa00,CB,JAX,"$2,572,818 "
289,Delanie Walker\WalkHu00,TE,TEN,"$2,570,000 "
290,Britton Colquitt\ColqBr00,P,CLE,"$2,550,000 "
291,Daniel Kilgore\KilgDa00,OL,MIA,"$2,525,000 "
292,Taylor Gabriel\GabrTa00,WR,CHI,"$2,500,000 "
293,Stefen Wisniewski\WisnSt01,OL,PHI,"$2,500,000 "
294,Josh Kline\KlinJo01,OL,TEN,"$2,500,000 "
295,Phil Dawson\dawsophi01,K,ARI,"$2,500,000 "
296,Chris Hubbard\HubbCh00,G,CLE,"$2,500,000 "
297,Allen Hurns\HurnAl01,WR,DAL,"$2,500,000 "
298,Aaron Colvin\ColvAa00,CB,HOU,"$2,500,000 "
299,Chris Long\LongCh99,DE,PHI,"$2,500,000 "
300,Marshawn Lynch\LyncMa00,RB,OAK,"$2,500,000 "
301,Jordan Poyer\PoyeJo00,CB,BUF,"$2,500,000 "
302,Justin Ellis\ElliJu01,DT,OAK,"$2,500,000 "
303,Rhett Ellison\ElliRh00,FB,NYG,"$2,475,000 "
304,Lorenzo Alexander\AlexLo99,LB,BUF,"$2,450,000 "
305,Johnathan Joseph\JoseJo20,DB,HOU,"$2,400,000 "
306,Ereck Flowers\FlowEr00,OT,NYG,"$2,397,507 "
307,Sam Martin\MartSa01,P,DET,"$2,325,000 "
308,Ronnie Stanley\StanRo00,OT,BAL,"$2,312,212 "
309,Nevin Lawson\LawsNe00,CB,DET,"$2,300,000 "
310,Chris Conte\ContCh00,DB,TAM,"$2,250,000 "
311,Kareem Martin\MartKa00,DE,NYG,"$2,250,000 "
312,Seth Roberts\RobeSe00,WR,OAK,"$2,250,000 "
313,Devon Kennard\KennDe00,OLB,DET,"$2,250,000 "
314,Julius Peppers\PeppJu99,DE,CAR,"$2,250,000 "
315,Brandon Fusco\FuscBr00,OL,ATL,"$2,250,000 "
316,Ryan Succop\SuccRy44,K,TEN,"$2,250,000 "
317,Earl Mitchell\MitcEa99,DT,SFO,"$2,250,000 "
318,Brandon McManus\McMaBr01,K,DEN,"$2,250,000 "
319,D.J. Hayden\HaydDJ00,CB,JAX,"$2,250,000 "
320,Ryan Griffin\GrifRy00,TE,HOU,"$2,250,000 "
321,Beau Allen\AlleBe00,DT,TAM,"$2,250,000 "
322,Jack Crawford\CrawJa00,DE,ATL,"$2,250,000 "
323,Vincent Rey\ReyxVi00,LB,CIN,"$2,250,000 "
324,Vontae Davis\DaviVo99,DB,BUF,"$2,250,000 "
325,Kyle Williams\WillKy20,DT,BUF,"$2,250,000 "
326,Kyle Long\LongKy00,OT,CHI,"$2,248,158 "
327,Trae Waynes\WaynTr00,CB,MIN,"$2,200,142 "
328,Aaron Lynch\LyncAa00,DE,CHI,"$2,200,000 "
329,Matthew Bosher\BoshMa00,P,ATL,"$2,200,000 "
330,Nickell Robey-Coleman\RobeNi00,CB,LAR,"$2,125,000 "
